train rmse,train mse,test_rmse,test_mse,train_pll,test_pll,time,data_set_name
0.388515177142426,0.150944042870011,0.0258936264216614,0.000670479889264561,-966.617080012196,3.10391220627401,7000.491437,h14_75_100_m
0.477311739213022,0.22782649639056,0.0173769227485123,0.000301957444207765,-663076.378231804,5.43244703556731,6968.3760269,h14_75_76_m
0.556218958553181,0.309379529853986,0.0138629244761501,0.000192180675031442,-198654.961452757,4.82847599117258,6989.8659774,h14_75_77_m
0.666316282019215,0.44397738768391,0.00598093962373907,3.57716387828121e-05,-867350.536574112,5.51301132336957,7000.2799388,h14_75_78_m
0.698374507085439,0.48772695214683,0.0147067642139162,0.000216288913643726,-425190.507706766,5.04717844936688,6976.6200636,h14_75_79_m
0.40057702289165,0.160461951268738,0.0191322307641863,0.000366042254014077,-50261.4267568669,4.67491211907298,6948.0509747,h14_75_80_m
0.350259146202126,0.122681469498242,0.00755711068965654,5.71099219757211e-05,-207237.241986052,5.52094455015115,7000.0009866,h14_75_81_m
0.566220277375641,0.320605402511348,0.00902098263702262,8.13781277374636e-05,-173613.461337852,5.10404018841265,6994.40633,h14_75_82_m
0.519085275115431,0.269449522841663,0.00845683896160788,7.1518125222569e-05,-238060.914306346,5.25555484217425,7004.4685631,h14_75_83_m
0.532520240275434,0.283577806303006,0.0128018498485346,0.000163887359544425,-132700.241453615,4.97395066932853,6980.653627,h14_75_84_m
0.629778791709773,0.396621326487422,0.0195396587079646,0.000381798262423738,-47787.7442685148,4.2545668853254,6974.7350707,h14_75_85_m
0.596615050647405,0.355949518659005,0.0173615973541191,0.000301425062686555,-44766.4355063792,4.54796752130264,6998.621831,h14_75_86_m
0.72383398372838,0.523935636000097,0.0165432650979038,0.00027367962009952,-35880.519260674,4.30607172173101,6979.0356097,h14_75_87_m
0.611428116760207,0.373844341964934,0.0136984015178267,0.000187646204143597,-32273.4342948392,4.31513456781012,6981.001931,h14_75_88_m
0.522570275990067,0.273079693348334,0.0125584027970988,0.000157713480814179,-10998.5634535843,4.02962052399322,6987.057798,h14_75_89_m
0.406544128143698,0.165278128128119,0.017131354666216,0.000293483312699682,-7374.60417430914,4.00368848538936,6984.2406588,h14_75_90_m
0.553072507956104,0.305889199056855,0.0163060834663934,0.000265888358012987,-53052.7189909359,4.38095435339163,6996.4507229,h14_75_91_m
0.466643022778915,0.217755710708243,0.0273897542588738,0.000750198638361496,-630.919563614651,2.78508837627402,6996.6855224,h14_75_92_m
0.455362984835964,0.207355447958718,0.0181684333869486,0.000330091971735987,-1914.79496618392,3.39929504282204,7002.0808447,h14_75_93_m
0.374111993994554,0.139959784050581,0.038198554748486,0.00145912958487308,-2333.54070685293,3.15902610000973,6991.2736571,h14_75_94_m
0.457663549185842,0.209455924253382,0.0213259976200895,0.000454798174492063,-1210.49891866931,3.06269829983839,6989.5377029,h14_75_95_m
0.319112908706685,0.101833048503241,0.0273192057933604,0.000746339005179978,-237.551941834131,2.84268247563339,6981.4196548,h14_75_96_m
0.315102822054467,0.0992897884666892,0.0252542435210905,0.000637776815822543,-174.863633294813,2.66195502449231,6977.2132176,h14_75_97_m
0.41824771041254,0.174931147265332,0.0272579113244872,0.000742993729773608,-8302.61494475096,3.78095615507532,1951.1170492,h14_75_98_m
0.530202705891746,0.281114909334929,0.0354613561127832,0.00125750777735763,-1451.72334139869,2.94011445803433,6973.4914106,h14_75_99_m
