0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0.67115712,0.0016535,0.09231535,0.81678206,0.60186856,0.94800333,0.62837254,0.99995541,0.99633934,0.74338897,0.33628219,0.93299,0.49928403,0.20996875,0.9529813,0.71973724,0.37071899,0.87401544,0.3274235,0.11820729,0.92019179,0.63387249,0.36181626,0.95620493,0.73409673,0.46993216,0.79108806,0.64322274,0.22563311,0.90058438,0.63529192,0.55042512,0.09733068,0.22094938,0.90293289,0.94650241,0.775531,0.38184788,0.90863249,0.36577903,0.15851892,0.92091544,0.82060678,0.37867155,0.83860709,0.50731053,0.41629762,0.76297573,0.31220643,0.13959156,0.84733694,0.88793157,0.32411041,0.94027708,0.72267081,0.51010063,0.84851448,0.78871604,0.32858209,0.80637529,0.00483274,0.0,0.89626992,2.95e-05,0.99994463,0.00031439,0.31498348,0.51378918,0.07890409,0.95401107,0.10030292,0.59406811,0.87746535,0.97851577,0.5953072,0.26277868,0.59019132,0.21162221,0.9515013,0.35698784,0.62744904,0.58429274,0.31860731,0.57404028,0.65640308,0.27689675,0.6035917,0.36710147,0.60713655,0.72434325,0.34482643,0.33670484,0.73030547,0.89417637,0.18542653,0.76147866,0.44237462,0.29229844,0.67236689,0.65321511,0.000195,1
0.68541313,0.00174137,0.13334534,0.72735641,0.80506521,1.0,0.63964176,0.99979838,0.99539393,0.8098234,0.5365243,0.94095344,0.69410616,0.2370277,0.83895718,0.7612182,0.5474977,0.89605745,0.46214373,0.30036346,0.85183093,0.69029673,0.2954706,0.89655202,0.85563872,0.58753264,0.85629594,0.76662885,0.368815,0.83198828,0.66247616,0.40259164,0.09711672,0.11462116,0.64556961,1.0,0.81026272,0.55136381,0.92714837,0.54956305,0.1545089,0.72614122,0.52416418,0.62811534,0.78012755,0.78530964,0.53303136,0.83670524,0.45936727,0.32147685,0.79472652,0.63241175,0.42314538,0.93934215,0.84461232,0.59521898,0.92832569,0.84732164,0.4672799,0.77857521,0.0023283,0.99996141,0.80833584,4.841e-05,6.391e-05,0.00027007,0.31962811,0.38579613,0.08327908,0.93955142,0.45130114,0.59375019,0.88995382,0.46622744,0.59420616,0.26932119,0.58010646,0.20053782,0.99159858,0.33511704,0.65384782,0.50971862,0.35741284,0.50622489,0.62277453,0.1959346,0.50697374,0.47087264,0.56012412,0.71598626,0.3927638,0.41060909,0.67916309,0.67735583,0.34253792,0.54715308,0.39756465,0.51443655,0.66825069,0.58828725,0.000386,3
0.56213626,0.99563135,0.90020596,0.80701535,0.40002884,0.56810937,0.70480126,0.99976999,0.14056841,0.80693488,0.60475271,0.5889589,0.51888178,0.90622535,0.22425905,0.87346543,0.53194137,0.82164928,0.38761482,0.85074871,0.50942341,0.60539845,0.74340207,0.16097749,0.64737734,0.53460347,0.86505391,0.67502651,0.84488913,0.43927569,0.19519985,0.36909302,0.96284973,0.34701522,0.13538619,0.12193163,0.72483826,0.56802288,0.43680782,0.35311458,0.87447016,0.2274113,0.89555685,0.61608966,0.75810945,0.83414209,0.51228965,0.7925812,0.40148434,0.8275663,0.72024604,0.82882444,0.79479624,0.16318178,0.52743675,0.5525682,0.90248839,0.68917847,0.92634359,0.41537049,0.99860079,0.00012471,0.15352445,0.52715336,0.48221417,0.99496526,0.72545584,0.84173293,0.73498817,1.999e-05,0.99994481,1.954e-05,0.80414313,0.42727434,0.93414957,0.37182557,0.55927951,0.38942062,0.65870529,0.32357204,0.66551214,0.62298529,0.65691727,0.60842911,0.47008521,0.31872514,0.15071511,0.24621001,0.65787573,0.54176822,0.10742372,0.10799799,0.53049934,0.68628142,0.31294827,0.60098511,0.31687485,0.4572785,0.23688398,0.19610548,0.000179,5
0.66699575,0.00266613,0.12269046,0.78786758,0.68546698,0.96389083,0.61717346,0.99975397,1.0,0.80984458,0.42154492,0.95942654,0.55247735,0.19927134,0.90354162,0.84823188,0.45102326,0.92751309,0.40430602,0.19258169,0.89339313,0.61591088,0.31099748,0.94635743,0.61893112,0.43968824,0.75295521,0.70717343,0.2854189,0.87445964,0.65619029,0.43295823,0.10144225,0.18444645,0.81376717,0.97554805,0.73504667,0.45375312,0.95439851,0.39943928,0.12464677,0.82460132,0.88668064,0.44061224,0.87837386,0.80902208,0.58444133,0.90047681,0.4036193,0.22296513,0.82486452,0.89306161,0.28839349,0.91284837,0.80775233,0.44249759,0.74550566,0.82003391,0.38979141,0.80335232,0.00195482,4.962e-05,0.88056671,3.231e-05,0.99995953,0.00028845,0.32567864,0.41239068,0.08246477,0.93286562,0.02459724,0.59676362,0.90669126,0.90619578,0.59656859,0.27638534,0.57674378,0.21135769,0.91559692,0.38156607,0.64536971,0.52199677,0.32002736,0.59435139,0.62994357,0.26898794,0.57027755,0.42315595,0.59038954,0.72760521,0.35739297,0.42128205,0.69877324,0.80579617,0.2670825,0.7203309,0.38905313,0.43943313,0.6654992,0.63017953,2.8e-05,6
0.70653458,0.00297108,0.11363813,0.87427782,0.40857765,0.91937792,0.76369372,0.99992094,0.9597649,0.60641754,0.15831863,0.92329033,0.4309213,0.26713793,1.0,0.56076037,0.23615383,0.83268997,0.19609402,0.0,1.0,0.67458798,0.42465135,0.93596965,0.77344753,0.23211875,0.78410472,0.51768474,0.14700992,1.0,0.61541139,0.4511552,0.0951147,0.4242123,1.0,0.84584187,0.69731844,0.19258294,0.88389933,0.31780198,0.28044149,1.0,0.39589289,0.22934814,0.72505305,0.56159365,0.40187751,0.76509412,0.16971315,0.0,0.95336393,0.88359984,0.38680402,0.95332747,0.83385071,0.20058087,0.8644158,0.55088111,0.16326448,1.0,0.00121007,1.106e-05,0.84462212,2.67e-05,0.99993866,0.00028918,0.29641696,0.42854267,0.0764566,0.92986869,0.03518843,0.59267754,0.89625959,0.91833005,0.59279707,0.24059942,0.61108962,0.17562512,0.98424813,0.35192089,0.6133654,0.57488988,0.25701964,0.5473963,0.48188686,0.2323367,0.59460857,0.13926769,0.60433686,0.7738258,0.38257144,0.38492235,0.63207975,0.85591458,0.28407065,0.69101471,0.2948483,0.21719682,0.7329468,0.70890835,0.000256,7
0.60445865,0.99443993,0.88316964,0.81995284,0.36451922,0.57411267,0.7818496,0.99977675,0.15248244,0.84847601,0.57002787,0.60453643,0.60949326,0.90072979,0.262475,0.88722084,0.49655115,0.83368034,0.42177199,0.82078711,0.54954613,0.66032048,0.7554596,0.18797353,0.66723785,0.49731387,0.87410699,0.71204256,0.8438169,0.4928669,0.19513867,0.45155703,0.97000243,0.35405343,0.18247417,0.11796097,0.76866544,0.54795999,0.44940732,0.43734901,0.87292859,0.2757178,0.91403219,0.58332823,0.77280741,0.83189203,0.47938468,0.79721309,0.41919114,0.78738214,0.75910705,0.92075087,0.79227229,0.21868934,0.54079029,0.50124019,0.91459819,0.70435746,0.9279055,0.47431993,0.99598333,0.00013137,0.05078776,0.52051722,0.50145589,0.99814462,0.69794376,0.96181443,0.73964185,4.411e-05,0.99990503,5.223e-05,0.82170768,0.47869438,0.93883544,0.31399237,0.57135212,0.34072528,0.70024389,0.32149167,0.65488348,0.59012297,0.61727822,0.63250952,0.52387878,0.2766418,0.10853095,0.25977899,0.53142897,0.56261054,0.08691697,0.12578309,0.54074899,0.73146993,0.29166381,0.6445885,0.39353394,0.5371257,0.27279919,0.141169,0.000359,9
0.67757162,0.00404986,0.12050059,0.80033877,0.68432469,0.96640094,0.61633652,0.99980563,0.99652947,0.83379471,0.42637759,0.97614511,0.5504068,0.20691361,0.91504966,0.87126356,0.45002799,0.94388444,0.4271968,0.19828466,0.91601775,0.54089183,0.33888496,0.96803995,0.61316933,0.45339764,0.76721796,0.72189422,0.29628805,0.90269289,0.65133946,0.57890024,0.10554887,0.15608279,0.83158949,0.97140522,0.74107536,0.46599478,0.97122269,0.44819137,0.1267967,0.82317989,0.84692344,0.5564449,0.89370446,0.88530701,0.44912488,0.91239402,0.43665035,0.22288457,0.85045844,0.81355781,0.30112604,0.95904482,0.80533684,0.43597856,0.75684674,0.81485015,0.40279723,0.83664492,0.002032,0.99994276,0.82183138,6.15e-05,4.836e-05,0.00027583,0.32809094,0.5403585,0.08445419,0.96230961,0.11903445,0.59806661,0.87357214,0.99514432,0.59999571,0.25780049,0.58982314,0.19934545,0.90302633,0.38002424,0.6267197,0.54397289,0.31339808,0.61565224,0.69995862,0.25376908,0.53517949,0.6493835,0.53004599,0.7460391,0.34194921,0.42582667,0.8290564,0.75257268,0.27292242,0.74588449,0.49121775,0.56284026,0.66351064,0.60725326,0.000492,11
0.58017147,0.99634916,0.903284,0.6271417,0.09962927,0.45473341,0.7475082,0.9999058,0.14665017,0.85352428,0.31140374,0.51248619,0.86068844,0.78630348,0.39479,0.83134631,0.33983252,0.77428769,0.59293191,0.56905664,0.45697214,0.56102686,0.92922514,0.33675929,0.59015355,0.38603646,0.82709316,0.6451723,0.62978263,0.35305598,0.17983833,0.37394961,0.96982487,0.2388857,0.59396976,0.07616594,0.73705299,0.25848018,0.3664115,0.82544362,0.67145421,0.52214321,0.89590076,0.43893976,0.72092764,0.77151886,0.33104254,0.75862179,0.76253691,0.57949262,0.60882471,0.91148422,0.87211198,0.3851051,0.78639292,0.3659098,0.8685323,0.68108864,0.57187112,0.33895784,0.99815908,0.00018025,0.13745454,0.51887079,0.48330415,0.99855301,0.71904723,0.85014273,0.73980284,3.943e-05,0.99998355,4.61e-05,0.80279511,0.42992581,0.93794732,0.35093995,0.59634803,0.37813976,0.73933823,0.28079646,0.63474215,0.55612034,0.59336196,0.5816831,0.49876637,0.26691271,0.15841495,0.38517841,0.65898019,0.4774934,0.10252926,0.11105429,0.60063007,0.59938615,0.32338047,0.80868753,0.30501667,0.38018415,0.29736097,0.33329246,0.000462,12
0.62860738,0.00114564,0.03746553,0.84436882,0.57690943,0.59201266,0.81675378,0.99983093,0.15802674,0.80829689,0.71097726,0.55518577,0.52116356,0.81489204,0.14370005,0.83984807,0.65285664,0.79801194,0.37232014,0.89261908,0.38691699,0.64769706,0.62368496,0.14012592,0.59532605,0.69146578,0.83533548,0.66423682,0.83843331,0.32646339,0.19765059,0.25981698,0.96610605,0.46753953,0.02363688,0.19877428,0.76687035,0.62425689,0.43120508,0.30892069,0.75366712,0.11582708,0.79759876,0.60687098,0.79226171,0.88503912,0.73164684,0.73044618,0.37983913,0.90888047,0.5594931,0.71622002,0.51012064,0.20587702,0.79150838,0.70425673,0.87812452,0.81050458,0.8648406,0.38817712,0.00430177,2.155e-05,0.90548786,5.37e-06,0.99994246,0.00029346,0.06605264,0.2726101,0.98301782,0.88354768,0.37609982,0.93818956,0.78356353,0.36158945,0.93424298,0.30915121,0.59720617,0.27079668,0.6534762,0.38763413,0.67113741,0.59947324,0.46529936,0.65393862,0.45680954,0.2657219,0.23125081,0.42867866,0.841024,0.58008606,0.23801474,0.1506112,0.62115885,0.45604753,0.26873138,0.55953581,0.1859987,0.07444772,0.46048379,0.10134435,3.76e-05,13
0.70566252,0.00422679,0.06346949,0.80271912,0.30601012,0.48558164,0.65246296,0.99993815,0.09029129,0.86517054,0.5181249,0.52503851,0.60990643,0.89484885,0.23319029,0.90383553,0.45738925,0.75972545,0.46421052,0.77142714,0.48810772,0.58116967,0.76334967,0.14350348,0.67303808,0.46004018,0.81466101,0.74918495,0.79590421,0.43704939,0.68144285,0.37454316,0.86532352,0.14302663,0.20965124,0.05750024,0.75376035,0.4996602,0.37100051,0.4782166,0.87616299,0.29277729,0.83395242,0.42874404,0.70941101,0.92985576,0.56847241,0.72995299,0.47680462,0.74695458,0.69706173,0.61052459,0.61051042,0.15214773,0.85699129,0.43665965,0.84741326,0.76133951,0.87936832,0.44539212,0.00513264,6.849e-05,0.87137318,1.486e-05,0.99999151,0.00026829,0.33560632,0.36013695,0.89920749,0.95603999,0.43577874,0.88441779,0.89395598,0.44689495,0.88326504,0.2349985,0.5854735,0.17825904,0.74115188,0.44002523,0.59998698,0.54554544,0.4133464,0.39319584,0.39928582,0.20396888,0.38250115,0.23422153,0.54127359,0.77388563,0.30137365,0.43443909,0.52789041,0.72851733,0.3715105,0.4585436,0.31409207,0.59448181,0.637163,0.59849664,0.000367,16
