train rmse,train mse,test_rmse,test_mse,train_pll,test_pll,time,data_set_name
0.383733824940665,0.147251648403593,0.0145595714083358,0.000211981119594429,-516.510985662808,2.99942893537965,2806.569768,c11_75_100_m
0.302654708494606,0.091599872573955,0.00368567352225424,1.3584189312646e-05,-43766.8116793305,5.29470475231824,2833.966128,c11_75_76_m
0.575554937156307,0.331263485685,0.019840705178186,0.000393653581967698,-27088.7342292972,4.272954398111,2826.923268,c11_75_77_m
0.312402126304676,0.097595088519683,0.00438256897497355,1.92069108204007e-05,-47878.4979776093,5.28146473166896,2812.221688,c11_75_78_m
0.717388219719096,0.514645857791734,0.0207458097168965,0.000430388620809675,-5297.67455819989,3.46237206487643,2797.441362,c11_75_79_m
0.359076035636089,0.12893559936813,0.0210444403046506,0.000442868467736003,-1342.174231475,3.44934156200309,2884.870187,c11_75_80_m
0.644558790644588,0.415456034597214,0.01964769051024,0.000386031742386175,-3113.73312295568,3.28093375704714,2870.842039,c11_75_81_m
0.593684452585609,0.352461229241875,0.0206520387413782,0.000426506704175386,-4840.14612476921,3.51498052667704,2880.900176,c11_75_82_m
0.573643848778357,0.329067265241246,0.0140112479104459,0.000196315068007974,-3348.60668189561,3.45797121196068,2891.347346,c11_75_83_m
0.519371370746857,0.269746620751469,0.0213249078685931,0.000454751695603986,-768.675406329567,2.81481405348577,2902.405444,c11_75_84_m
0.540569100925123,0.292214952874996,0.0186964008062851,0.000349555403109258,-686.661328697752,2.78229604374098,2907.213298,c11_75_85_m
0.276234177923902,0.0763053210532937,0.0153993918962233,0.000237141270773466,-142.196005453066,2.77494543799444,2785.762157,c11_75_86_m
0.23060262324337,0.0531775698467237,0.0178514236198276,0.000318673325254539,-266.765354322286,3.1522690943374,2830.323135,c11_75_87_m
0.317736959997137,0.100956775748222,0.0240235641686954,0.000577131635367425,-135.730902256855,2.54687371320783,2883.493232,c11_75_88_m
0.570322794704585,0.325268090159648,0.0269885534568415,0.00072838201769279,-404.02286744415,2.41461128380485,2891.843871,c11_75_89_m
0.656033571346805,0.430380046734043,0.00874760443470434,7.65205833460591e-05,-7358.61102230861,3.75929806413969,2879.092076,c11_75_90_m
0.197460618256323,0.0389906957621695,0.0233816261416106,0.00054670044102605,-61.4980879496685,2.63407677015918,2819.943154,c11_75_91_m
0.25849383362416,0.0668190620217151,0.0179022031638349,0.000320488878119222,-133.079314569973,2.73161355467069,2845.658243,c11_75_92_m
0.573630620796398,0.329052089115261,0.0283839113447639,0.000805646423227419,-287.851525615957,2.26236516558838,2886.522522,c11_75_93_m
0.692601956952021,0.47969747077377,0.0227622035240765,0.000518117909271482,-1405.24746610658,2.84493680964774,2892.326855,c11_75_94_m
0.370337182655778,0.137149628857419,0.0141592731134024,0.000200485015099919,-652.261570656685,3.11930823413431,2799.578911,c11_75_95_m
0.563924346337056,0.318010668391676,0.0294283036589479,0.000866025056243245,-209.925385193764,2.16984357453121,2799.468076,c11_75_96_m
0.394639600612887,0.155740414371899,0.0194725675066809,0.000379180885302245,-382.103799014219,2.78580177087513,2885.386063,c11_75_97_m
0.483763421666163,0.234027048142154,0.0440346004454514,0.00193904603639055,-81.0806597031612,1.83707592213832,2893.929247,c11_75_98_m
0.383809281355608,0.147309564454708,0.0157860029772148,0.000249197889996635,-481.291740341657,2.99517812613851,2795.744062,c11_75_99_m
